date,pool_size,quotes_requested,quotes_received,missing_quotes,extra_quotes,usable_quotes,signals,arxiv_papers,candidates,observe_count,observe_tickers,report_href
2026-06-23,103,103,103,[],21,124,122,31,100,12,002156.SZ;AMD;ISRG;NTAP;ROK;000657.SZ;600111.SS;TER;PSTG;300602.SZ;300990.SZ;300499.SZ,reports/discovery-2026-06-23.md
2026-06-24,136,136,135,920808.BJ,12,147,132,29,117,7,ISRG;NTAP;AMD;PSTG;ROK;TER;KLAC,reports/discovery-2026-06-24.md
2026-06-25,136,136,135,920808.BJ,11,146,139,32,117,7,ISRG;ROK;TER;AMD;NTAP;PSTG;KLAC,reports/discovery-2026-06-25.md
2026-06-26,136,136,135,920808.BJ,11,146,140,33,117,7,ISRG;AMD;NTAP;ROK;PSTG;TER;KLAC,reports/discovery-2026-06-26.md
2026-06-27,136,136,135,920808.BJ,11,146,125,32,117,7,ISRG;ROK;AMD;NTAP;TER;PSTG;KLAC,reports/discovery-2026-06-27.md
2026-06-29,136,136,135,920808.BJ,11,146,169,32,117,7,ISRG;ROK;AMD;NTAP;TER;PSTG;KLAC,reports/discovery-2026-06-29.md
2026-06-30,136,136,135,920808.BJ,11,146,138,34,124,6,AMD;ISRG;NTAP;ROK;TER;PSTG,reports/discovery-2026-06-30.md
2026-07-01,136,136,135,920808.BJ,11,146,135,31,124,6,ISRG;ROK;TER;NTAP;AMD;PSTG,reports/discovery-2026-07-01.md
2026-07-02,136,136,135,920808.BJ,11,146,133,33,123,6,ISRG;ROK;NTAP;TER;AMD;PSTG,reports/discovery-2026-07-02.md
2026-07-03,136,136,135,920808.BJ,10,145,117,32,123,6,ROK;ISRG;TER;NTAP;AMD;PSTG,reports/discovery-2026-07-03.md
2026-07-04,136,136,135,920808.BJ,5,140,133,32,123,6,ISRG;ROK;TER;AMD;NTAP;PSTG,reports/discovery-2026-07-04.md
2026-07-06,136,136,135,920808.BJ,11,146,117,17,123,3,NTAP;AMD;PSTG,reports/discovery-2026-07-06.md
2026-07-07,136,136,135,920808.BJ,10,145,138,35,113,9,ISRG;ROK;TER;AMD;NTAP;PSTG;CAT;CEG;NEE,reports/discovery-2026-07-07.md
2026-07-08,136,136,135,920808.BJ,11,146,137,34,123,9,NTAP;ISRG;ROK;AMD;PSTG;CAT;CEG;NEE;TER,reports/discovery-2026-07-08.md
2026-07-09,136,136,135,920808.BJ,12,147,132,30,125,9,AMD;ISRG;NTAP;ROK;TER;PSTG;CAT;CEG;NEE,reports/discovery-2026-07-09.md
2026-07-13,136,136,135,920808.BJ,10,145,112,8,121,3,ISRG;ROK;TER,reports/discovery-2026-07-13.md
2026-07-14,136,136,135,920808.BJ,4,139,72,16,99,8,ISRG;ROK;TER;AMD;NTAP;HPE;PSTG;SMCI,reports/discovery-2026-07-14.md
2026-07-15,136,136,135,920808.BJ,7,142,57,0,100,0,,reports/discovery-2026-07-15.md
2026-07-16,136,136,135,920808.BJ,11,146,126,21,122,8,ISRG;ROK;TER;AMD;SMCI;NTAP;PSTG;HPE,reports/discovery-2026-07-16.md
2026-07-17,136,136,135,920808.BJ,11,146,112,9,121,6,ROK;TER;ISRG;AMD;NTAP;PSTG,reports/discovery-2026-07-17.md
2026-07-18,136,136,135,920808.BJ,11,146,125,22,121,6,ROK;TER;AMD;NTAP;ISRG;PSTG,reports/discovery-2026-07-18.md
2026-07-20,136,136,135,920808.BJ,11,146,128,24,113,9,ROK;TER;AMD;NTAP;ISRG;PSTG;CAT;CEG;NEE,reports/discovery-2026-07-20.md
2026-07-21,136,136,135,920808.BJ,11,146,131,29,112,10,ISRG;ROK;TER;AMD;NTAP;PSTG;CAT;CEG;NEE;KLAC,reports/discovery-2026-07-21.md
2026-07-23,136,136,135,920808.BJ,11,146,141,30,113,7,ISRG;ROK;TER;AMD;NTAP;PSTG;KLAC,reports/discovery-2026-07-23.md
